Taxa	LCA.DSS.1	LCA.DSS.2	LCA.DSS.3	LCA.DSS.4	LCA.DSS.5	No.DSS.1	No.DSS.2	No.DSS.3	No.DSS.4	No.DSS.5	Water.DSS.1	Water.DSS.2	Water.DSS.3	Water.DSS.4	Water.DSS.5
Other	0.1093661654183105	0.19301493869526148	0.13488937827859848	0.20202957112682524	0.09100550244382281	0.3045876515830028	0.17737454576134315	0.16547267502681517	0.25825160566227323	0.1844119609389216	0.1569258535118063	0.24399554882383853	0.0266938672631894	0.12765741679727113	0.25430953985563143
p__Bacteroidetes g__Bacteroides	0.37279790606516866	0.13415877113098648	0.2698912804685281	0.13666085039948572	0.03201561587408933	0.2031603190173583	0.3322947865756281	0.21777877828833242	0.17100817374646696	0.3878570995329654	0.11030230109790946	0.19823189391363483	0.08149939350021267	0.1965059463446114	0.2331089584838864
p__Bacteroidetes g__Parabacteroides	0.12166549136950708	0.01068686637195361	0.032503335530228744	0.050950500505096884	0.0032046355783713998	0.10842183079569526	0.11673104853046638	0.13083146841108625	0.07489760781294989	0.10872202341238552	0.013415551210708377	0.041436122530988224	0.0700152806439925	0.01838296303125288	0.013088983979798144
p__Deferribacteres g__Mucispirillum	0.03504291422871918	0.09680901749582356	0.11952718524114946	0.03385067499311231	0.28346807660385476	0.004627457670490894	9.46142210597998e-4	0.006468742137531946	0.0012222424623484684	9.158731121489659e-4	0.11233769489146238	0.061597786776297486	0.01973093463980214	0.16381487969023692	0.08694593080377079
p__Firmicutes f__Lachnospiraceae	0.01070473358872223	0.13612486505720367	0.10123401222759837	0.07441454679033888	0.039639113461006424	0.05124322941101207	0.059408088611943084	0.08614616576400017	0.09334876806186428	0.04902650573178868	0.08249862134656841	0.030717752156038454	0.0047574788512736495	0.07611321102609016	0.026210446828032512
p__Firmicutes f__Ruminococcaceae	0.012292972993577159	0.026065821929787528	0.015935529157088738	0.036881256313711086	0.03507423688174357	0.028830980509233592	0.02095373545381681	0.021981805421295866	0.026219451283648394	0.016437192939892036	0.032245450443675744	0.023708695248987666	0.0021188109453520064	0.024725730616760394	0.026259165130686848
p__Firmicutes g__Enterococcus	0.04525847008074609	0.0034678037042174524	0.014595958784098764	9.918266140141428e-4	0.08359718422427838	0	0	0	1.1752331368735272e-5	0	0.003128289968416303	0.05656703038545949	0.18695946691031678	0.008564580068221628	0.008225273431473647
p__Firmicutes g__Oscillospira	0.03721562573456073	0.12970792046366042	0.05200748016096277	0.05433005785655248	0.06098029571793059	0.040858105514564765	0.03633909254717152	0.0388389369281089	0.08385876048161053	0.03525808212531085	0.07329422970872813	0.06625761182034559	0.013130326564690684	0.06211855812667097	0.05799913930998644
p__Firmicutes o__Clostridiales	0.08709269600462495	0.25043573707413863	0.2312795040374651	0.4094958214712095	0.2920906212535735	0.2582704254986423	0.255922428391498	0.3324814280228293	0.291158133494732	0.217371262206587	0.4118714593673234	0.14539736020524868	0.028158918697522014	0.29787959804554254	0.2787011700512354
p__Proteobacteria g__Proteus	0.16856302451606345	0.019528258076967148	0.028136336114281426	3.9489392965377904e-4	0.07892471796132919	0	3.013191753496809e-5	0	2.3504662737470545e-5	0	0.003980548453401514	0.13209019813916106	0.5669355219836482	0.024237116253341937	0.015151392125498347
